Date,RELIANCE.NS,INFY.NS,TCS.NS,HDFCBANK.NS,SUNPHARMA.NS,AXISBANK.NS,HINDUNILVR.NS
01-01-2020,675.3242188,633.1511841,1866.113892,605.5293579,406.0739746,745.5869141,1749.931641
02-01-2020,686.821167,631.303772,1857.547729,609.3890991,406.6817322,753.8025513,1751.286865
03-01-2020,687.6488037,641.0134277,1894.567017,600.6988525,415.7046509,739.8608398,1741.708252
06-01-2020,671.7006836,634.8695068,1894.394531,587.6987915,411.3568115,720.2427368,1730.864624
07-01-2020,682.0345459,625.4606323,1899.043823,597.0047607,417.3876343,722.7322998,1735.608643
08-01-2020,676.9122925,617.1257324,1941.572632,595.4419556,411.4970703,721.4875488,1743.425293
09-01-2020,692.5026245,625.1599731,1906.36084,602.1196289,411.2633362,739.7611694,1748.575684
10-01-2020,692.3460083,634.2682495,1905.672729,607.4711304,414.7695618,736.9729004,1765.699829
13-01-2020,690.5790405,664.6862793,1885.699829,609.0339966,415.7046509,734.3339233,1802.613159
14-01-2020,684.1818237,666.4907227,1899.947632,610.6914673,417.0136108,744.7902222,1815.218872
15-01-2020,681.6990356,659.5306396,1917.165649,608.2050781,419.8654175,743.1968994,1826.830566
16-01-2020,687.9842529,659.0580444,1927.411377,609.8153687,419.8654175,734.2342529,1851.770996
17-01-2020,707.2653198,659.7884521,1910.45105,605.3162842,425.0546875,736.8235474,1861.756104
20-01-2020,685.5014648,660.3039551,1868.481201,594.3053589,420.2393799,724.1763306,1864.060425
21-01-2020,686.1949463,655.1914673,1869.084229,589.309082,418.3225708,714.6162109,1857.328003
22-01-2020,685.9488525,661.8076782,1899.947632,587.6514282,417.2940979,709.6369629,1853.984741
23-01-2020,683.0410767,673.9663696,1890.499512,589.5458374,420.6133423,719.9937744,1858.683716
24-01-2020,680.670105,672.5914307,1883.984985,589.4038086,418.6966553,734.3339233,1873.864746
27-01-2020,673.9598389,668.5958252,1871.77478,574.5567627,419.2575989,737.1720581,1862.704834
28-01-2020,658.3918457,668.5099487,1884.286377,579.2926025,423.4651184,734.0848999,1862.027344
29-01-2020,662.0155029,678.5634155,1859.134399,585.2835083,420.8471985,732.1928101,1874.316528
30-01-2020,645.8660278,670.829895,1844.681274,580.642395,413.3670349,727.8609009,1859.768311
31-01-2020,631.5059814,666.7484741,1793.944458,580.7608032,406.0739746,726.2675171,1838.216431
03-02-2020,619.8077393,659.4018555,1814.178711,564.8955688,390.4126282,706.0021973,1968.972656
04-02-2020,638.1044922,676.9738159,1818.708862,582.4182739,397.9861755,712.0269775,1947.872192
05-02-2020,647.9909058,674.1381226,1852.188232,589.4510498,398.5471802,721.0394287,1952.119263
06-02-2020,652.1513062,662.7958374,1836.484253,587.1541748,402.6611938,733.8858032,1948.595337
07-02-2020,641.3477783,667.9084473,1843.55957,588.2907715,402.8015137,745.0391846,1951.802856
10-02-2020,642.2201538,664.385437,1865.475952,587.3909912,392.9838562,738.0184326,1951.21582
11-02-2020,649.8922729,664.6862793,1858.098267,587.5330811,391.3476257,746.8317871,1945.206543
12-02-2020,657.7432861,671.1307983,1873.069702,591.5112305,387.6543274,752.1097412,2042.52771
